No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
413,MPMX,Mitra Pinasthika Mustika Tbk,Ya
414,MPOW,Megapower Makmur Tbk,Ya
415,MPPA,Matahari Putra Prima Tbk,Ya
416,MPRO,Maha Properti Indonesia Tbk,Ya
417,MRAT,Mustika Ratu Tbk,Ya
418,MSIE,Multisarana Intan Eduka Tbk,Tidak
419,MSIN,MNC Digital Entertainment Tbk,Ya
420,MSJA,Multi Spunindo Jaya Tbk,Ya
421,MSKY,MNC Sky Vision Tbk,Ya
422,MSTI,Mastersystem Infotama Tbk,Ya
423,MTDL,Metrodata Electronics Tbk,Ya
424,MTEL,Dayamitra Telekomunikasi Tbk,Ya
425,MTFN,Capitalinc Investment Tbk,Ya
426,MTLA,Metropolitan Land Tbk,Ya
427,MTMH,Murni Sadar Tbk,Ya
428,MTPS,Meta Epsi Tbk,Ya
429,MTSM,Metro Realty Tbk,Ya
430,MUTU,Mutuagung Lestari Tbk,Ya
431,MYOH,Samindo Resources Tbk,Ya
432,MYOR,Mayora Indah Tbk,Ya
433,NAIK,Adiwarna Anugerah Abadi Tbk,Ya
434,NANO,Nanotech Indonesia Global Tbk,Tidak
435,NASA,Andalan Perkasa Abadi Tbk,Ya
436,NASI,Wahana Inti Makmur Tbk,Ya
437,NAYZ,Hassana Boga Sejahtera Tbk,Tidak
438,NCKL,Trimegah Bangun Persada Tbk,Ya
439,NELY,Pelayaran Nelly Dwi Putri Tbk,Ya
440,NEST,Esta Indonesia Tbk,Ya
441,NETV,MDTV Media Technologies Tbk,Ya
442,NFCX,NFC Indonesia Tbk,Ya
443,NICE,Adhi Kartiko Pratama Tbk,Ya
444,NICL,PAM Mineral Tbk,Ya
445,NIKL,Pelat Timah Nusantara Tbk,Ya
446,NINE,Techno9 Indonesia Tbk,Tidak
447,NPGF,Nusa Palapa Gemilang Tbk,Ya
448,NRCA,Nusa Raya Cipta Tbk,Ya
449,NTBK,Nusatama Berkah Tbk,Ya
450,NZIA,"Nusantara Almazia, Tbk",Ya
451,OASA,Maharaksa Biru Energi Tbk,Ya
452,OBAT,Brigit Biofarmaka Teknologi Tbk,Ya
453,OBMD,OBM Drilchem Tbk,Ya
454,OILS,Indo Oil Perkasa Tbk,Ya
